x_mm,r_mm
2.093645484949832891e+01,9.517150023310257723e+00
2.102006688963210479e+01,9.539554539309110126e+00
2.110367892976588422e+01,9.562180344053084369e+00
2.118729096989966365e+01,9.585024897884000694e+00
2.127090301003344308e+01,9.608085661143679346e+00
2.135451505016722251e+01,9.631360094173944120e+00
2.143812709030100194e+01,9.654845657316613483e+00
2.152173913043478137e+01,9.678539810913509456e+00
2.160535117056856080e+01,9.702440015306455834e+00
2.168896321070234023e+01,9.726543730837272861e+00
2.177257525083611966e+01,9.750848417847779004e+00
2.185618729096989910e+01,9.775351536679799835e+00
2.193979933110367853e+01,9.800050547675152046e+00
2.202341137123745796e+01,9.824942911175661209e+00
2.210702341137123739e+01,9.850026087523145790e+00
2.219063545150501682e+01,9.875297537059429587e+00
2.227424749163879625e+01,9.900754720126332842e+00
2.235785953177257568e+01,9.926395097065675799e+00
2.244147157190635511e+01,9.952216128219280478e+00
2.252508361204013454e+01,9.978215273928968898e+00
2.260869565217391397e+01,1.000438999453656130e+01
2.269230769230769340e+01,1.003073775038388149e+01
2.277591973244147283e+01,1.005725600181274970e+01
2.285953177257525226e+01,1.008394220916498440e+01
2.294314381270903169e+01,1.011079383278240940e+01
2.302675585284281112e+01,1.013780833300684492e+01
2.311036789297659055e+01,1.016498317018011477e+01
2.319397993311036998e+01,1.019231580464403741e+01
2.327759197324414941e+01,1.021980369674043665e+01
2.336120401337792885e+01,1.024744430681113094e+01
2.344481605351170828e+01,1.027523509519794409e+01
2.352842809364548415e+01,1.030317352224269456e+01
2.361204013377926358e+01,1.033125704828720792e+01
2.369565217391304301e+01,1.035948313367330265e+01
2.377926421404682245e+01,1.038784923874280253e+01
2.386287625418060188e+01,1.041635282383752781e+01
2.394648829431438131e+01,1.044499134929929340e+01
2.403010033444816074e+01,1.047376227546993377e+01
2.411371237458194017e+01,1.050266306269125849e+01
2.419732441471571960e+01,1.053169117130509314e+01
2.428093645484949903e+01,1.056084406165325973e+01
2.436454849498327846e+01,1.059011919407758029e+01
2.444816053511705434e+01,1.061951402891987151e+01
2.453177257525083377e+01,1.064902602652196073e+01
2.461538461538461320e+01,1.067865264722566643e+01
2.469899665551839263e+01,1.070839135137280884e+01
2.478260869565217206e+01,1.073823959930521532e+01
2.486622073578595149e+01,1.076819485136469545e+01
2.494983277591973092e+01,1.079825456789308369e+01
