x_mm,r_mm
0.000000000000000000e+00,1.700000000000000000e+01
7.537688442211054607e-02,1.699918896643523425e+01
1.507537688442210921e-01,1.699676824056371416e+01
2.261306532663316382e-01,1.699275638461965343e+01
3.015075376884421843e-01,1.698717196083723024e+01
3.768844221105527303e-01,1.698003353145064764e+01
4.522613065326632764e-01,1.697135965869410157e+01
5.276381909547738225e-01,1.696116890480177730e+01
6.030150753768843686e-01,1.694947983200787078e+01
6.783919597989949146e-01,1.693631100254657795e+01
7.537688442211054607e-01,1.692168097865209830e+01
8.291457286432160068e-01,1.690560832255861357e+01
9.045226130653265528e-01,1.688811159650033389e+01
9.798994974874370989e-01,1.686920936271143745e+01
1.055276381909547645e+00,1.684892018342612374e+01
1.130653266331658191e+00,1.682726262087859581e+01
1.206030150753768737e+00,1.680425523730303539e+01
1.281407035175879283e+00,1.677991659493364196e+01
1.356783919597989829e+00,1.675426525600460792e+01
1.432160804020100375e+00,1.672731978275012565e+01
1.507537688442210921e+00,1.669909873740439465e+01
1.582914572864321467e+00,1.666962068220160731e+01
1.658291457286432014e+00,1.663890417937595245e+01
1.733668341708542560e+00,1.660696779116162602e+01
1.809045226130653106e+00,1.657383007979282752e+01
1.884422110552763652e+00,1.653950960750374577e+01
1.959798994974874198e+00,1.650402493652857672e+01
2.035175879396984744e+00,1.646739462910151275e+01
2.110552763819095290e+00,1.642963724745674980e+01
2.185929648241205836e+00,1.639077135382848738e+01
2.261306532663316382e+00,1.635081551045090364e+01
2.336683417085426928e+00,1.630978827955820165e+01
2.412060301507537474e+00,1.626770822338458089e+01
2.487437185929648020e+00,1.622459390416423020e+01
2.562814070351758566e+00,1.618046388413134196e+01
2.638190954773869112e+00,1.613533672552011211e+01
2.713567839195979658e+00,1.608923099056473660e+01
2.788944723618090205e+00,1.604216524149940426e+01
2.864321608040200751e+00,1.599415804055830925e+01
2.939698492462311297e+00,1.594522794997565462e+01
3.015075376884421843e+00,1.589539353198562566e+01
3.090452261306532389e+00,1.584467334882242184e+01
3.165829145728642935e+00,1.579308596272023024e+01
3.241206030150753481e+00,1.574064993591324857e+01
3.316582914572864027e+00,1.568738383063567277e+01
3.391959798994974573e+00,1.563330620912169699e+01
3.467336683417085119e+00,1.557843563360551187e+01
3.542713567839195665e+00,1.552279066632131332e+01
3.618090452261306211e+00,1.546638986950329375e+01
3.693467336683416757e+00,1.540925180538565087e+01
3.768844221105527303e+00,1.535139503620257351e+01
3.844221105527637850e+00,1.529283812418825939e+01
3.919597989949748396e+00,1.523359963157690444e+01
3.994974874371858942e+00,1.517369812060269751e+01
4.070351758793969488e+00,1.511315215349983276e+01
4.145728643216079590e+00,1.505198029250250968e+01
4.221105527638190580e+00,1.499020109984491533e+01
4.296482412060301570e+00,1.492783313776125276e+01
4.371859296482411672e+00,1.486489496848570724e+01
4.447236180904521774e+00,1.480140515425247827e+01
4.522613065326632764e+00,1.473738225729575468e+01
4.597989949748743754e+00,1.467284483984973420e+01
4.673366834170853856e+00,1.460781146414861276e+01
4.748743718592963958e+00,1.454230069242658097e+01
4.824120603015074948e+00,1.447633108691783121e+01
4.899497487437185939e+00,1.440992120985655944e+01
4.974874371859296041e+00,1.434308962347696337e+01
5.050251256281406143e+00,1.427585489001323360e+01
5.125628140703517133e+00,1.420823557169956075e+01
5.201005025125628123e+00,1.414025023077014431e+01
5.276381909547738225e+00,1.407191742945917845e+01
5.351758793969848327e+00,1.400325573000085200e+01
5.427135678391959317e+00,1.393428369462936445e+01
5.502512562814070307e+00,1.386501988557890641e+01
5.577889447236180409e+00,1.379548286508367205e+01
5.653266331658290511e+00,1.372569119537785731e+01
5.728643216080401501e+00,1.365566343869565280e+01
5.804020100502512491e+00,1.358541815727125623e+01
5.879396984924622593e+00,1.351497391333886178e+01
5.954773869346732695e+00,1.344434926913266182e+01
6.030150753768843686e+00,1.337356278688685052e+01
6.105527638190954676e+00,1.330263302883561849e+01
6.180904522613064778e+00,1.323157855721316523e+01
6.256281407035174880e+00,1.316041793425368311e+01
6.331658291457285870e+00,1.308916972219136809e+01
6.407035175879396860e+00,1.301785248326040545e+01
6.482412060301506962e+00,1.294648477969500000e+01
6.557788944723617064e+00,1.287508517372934058e+01
6.633165829145728054e+00,1.280367222759761958e+01
6.708542713567839044e+00,1.273226450353403472e+01
6.783919597989949146e+00,1.266088056377278015e+01
6.859296482412059248e+00,1.258953897054804649e+01
6.934673366834170238e+00,1.251825828609402969e+01
7.010050251256281229e+00,1.244705707264492212e+01
7.085427135678391330e+00,1.237595389243492328e+01
7.160804020100501432e+00,1.230496730769821845e+01
7.236180904522612423e+00,1.223411588066900713e+01
7.311557788944723413e+00,1.216341817358148347e+01
